TOWNSHIP_CODE,TOWNSHIP,STATUS,UFI,UFI_CREATED
5042,BARINGHUP,ACTIVE,       10012940,2008/02/28
5043,BARKLY,ACTIVE,       10012941,2008/02/28
5044,BARKSTEAD,ACTIVE,       10012942,2008/02/28
5045,BARMAH,ACTIVE,       10012943,2008/02/28
5046,BARNAWARTHA,ACTIVE,       10012944,2008/02/28
5047,BARRAKEE,ACTIVE,       10012945,2008/02/28
5048,BARRAPOORT,ACTIVE,       10012946,2008/02/28
5049,BARRINGO,ACTIVE,       10012947,2008/02/28
5050,BARRYS REEF,ACTIVE,       10012948,2008/02/28
5051,BARWON DOWNS,ACTIVE,       10012949,2008/02/28
5052,BARWON HEADS,ACTIVE,       10012950,2008/02/28
5053,BASS,ACTIVE,       10012951,2008/02/28
5054,BATHUMI,ACTIVE,       10012952,2008/02/28
5055,BEALIBA,ACTIVE,       10012953,2008/02/28
5056,BEARII,ACTIVE,       10012954,2008/02/28
5057,BEARS LAGOON,ACTIVE,       10012955,2008/02/28
5058,BEAUFORT,ACTIVE,       10012956,2008/02/28
5059,BEAZLEYS BRIDGE,ACTIVE,       10012957,2008/02/28
5060,BEEAC,ACTIVE,       10012958,2008/02/28
5061,BEECHWORTH,ACTIVE,       10012959,2008/02/28
5062,BEENAK,ACTIVE,       10012960,2008/02/28
5063,BEETOOMBA,ACTIVE,       10012961,2008/02/28
5064,BELLBRAE,ACTIVE,       10012962,2008/02/28
5065,BEMM,ACTIVE,       10012963,2008/02/28
5066,BENALLA,ACTIVE,       10012964,2008/02/28
5067,BENAMBRA,ACTIVE,       10012965,2008/02/28
5068,BENDOC,ACTIVE,       10012966,2008/02/28
5069,BENETOOK,ACTIVE,       10012967,2008/02/28
5070,BENGWORDEN,ACTIVE,       10012968,2008/02/28
5071,BENJEROOP,ACTIVE,       10012969,2008/02/28
5072,BENNISON,ACTIVE,       10012970,2008/02/28
5073,BERRINGA,ACTIVE,       10012971,2008/02/28
5074,BERRINGAMA,ACTIVE,       10012972,2008/02/28
5075,BERRIWILLOCK,ACTIVE,       10012973,2008/02/28
5076,BERRYBANK,ACTIVE,       10012974,2008/02/28
5077,BERWICK,ACTIVE,       10012975,2008/02/28
5078,BET BET,ACTIVE,       10012976,2008/02/28
5079,BETHANGA,ACTIVE,       10012977,2008/02/28
5080,BETLEY,ACTIVE,       10012978,2008/02/28
5081,BEULAH,ACTIVE,       10012979,2008/02/28
5082,BEVERIDGE,ACTIVE,       10012980,2008/02/28
5083,BINGO-MUNJIE NORTH,ACTIVE,       10012981,2008/02/28
5084,BIRCHIP,ACTIVE,       10012982,2008/02/28
5085,BIRREGURRA,ACTIVE,       10012983,2008/02/28
5086,BLACKWARRY,ACTIVE,       10012984,2008/02/28
5087,BLACKWOOD,ACTIVE,       10012985,2008/02/28
5088,BLAKEVILLE,ACTIVE,       10012986,2008/02/28
5089,BOCCA FLAT,ACTIVE,       10012987,2008/02/28
5090,BOIGBEAT,ACTIVE,       10012988,2008/02/28
5091,BOILEAU,ACTIVE,       10012989,2008/02/28
5092,BOINKA,ACTIVE,       10012990,2008/02/28
5093,BOLTON,ACTIVE,       10012991,2008/02/28
5094,BOLWARRAH,ACTIVE,       10012992,2008/02/28
5095,BONANG,ACTIVE,       10012993,2008/02/28
5096,BONNIE DOON,ACTIVE,       10012994,2008/02/28
5097,BOOLARRA,ACTIVE,       10012995,2008/02/28
5098,BOOLITE,ACTIVE,       10012996,2008/02/28
5099,BOONOONAR,ACTIVE,       10012997,2008/02/28
5100,BOORGUNYAH,ACTIVE,       10012998,2008/02/28
5101,BOOROOPKI,ACTIVE,       10012999,2008/02/28
5102,BOORT,ACTIVE,       10013000,2008/02/28
5103,BORUNG,ACTIVE,       10013001,2008/02/28
5104,BOWENVALE,ACTIVE,       10013002,2008/02/28
5105,BRANXHOLME,ACTIVE,       10013003,2008/02/28
