PARISH_TOWN_ID,PARISH_TOWN_CODE,PARISH_TOWN,PARISH_TOWN_DISPLAY,UFI,UFI_CREATED
   930,2592,ENFIELD,PARISH OF ENFIELD,       10010401,2008/02/28
   933,5282,ENSAY (T),TOWNSHIP OF ENSAY,       10010404,2008/02/28
   937,5284,EPSOM (T),TOWNSHIP OF EPSOM,       10010408,2008/02/28
   940,5285,ESKDALE (T),TOWNSHIP OF ESKDALE,       10010411,2008/02/28
   943,2599,ESTCOURT,PARISH OF ESTCOURT,       10010414,2008/02/28
   947,2603,EUMEMMERRING,PARISH OF EUMEMMERRING,       10010418,2008/02/28
   954,5287,EUROA (T),TOWNSHIP OF EUROA,       10010425,2008/02/28
   957,2610,EVERTON,PARISH OF EVERTON,       10010428,2008/02/28
   960,5290,FERNBANK (T),TOWNSHIP OF FERNBANK,       10010431,2008/02/28
   964,5292,FLINDERS (T),TOWNSHIP OF FLINDERS,       10010435,2008/02/28
   967,5294,FLYNNS CREEK UPPER (T),TOWNSHIP OF FLYNNS CREEK UPPER,       10010438,2008/02/28
   972,5296,FOSTER (T),TOWNSHIP OF FOSTER,       10010443,2008/02/28
   976,2616,FRAMLINGHAM EAST,PARISH OF FRAMLINGHAM EAST,       10010447,2008/02/28
   980,2619,FRANKSTON,PARISH OF FRANKSTON,       10010451,2008/02/28
   983,5302,FREEBURGH (T),TOWNSHIP OF FREEBURGH,       10010454,2008/02/28
  1032,5317,GIFFARD (T),TOWNSHIP OF GIFFARD,       10010503,2008/02/28
  1035,2656,GIMPA,PARISH OF GIMPA,       10010506,2008/02/28
  1038,2659,GINQUAM,PARISH OF GINQUAM,       10010509,2008/02/28
  1045,5321,GLANVILLE (T),TOWNSHIP OF GLANVILLE,       10010516,2008/02/28
  1049,2664,GLENALBYN,PARISH OF GLENALBYN,       10010520,2008/02/28
  1052,2667,GLENBURNIE,PARISH OF GLENBURNIE,       10010523,2008/02/28
  1056,2671,GLENDARUEL,PARISH OF GLENDARUEL,       10010527,2008/02/28
  1059,2674,GLENGOWER,PARISH OF GLENGOWER,       10010530,2008/02/28
  1062,2676,GLENLOGIE,PARISH OF GLENLOGIE,       10010533,2008/02/28
  1066,2679,GLENMAGGIE,PARISH OF GLENMAGGIE,       10010537,2008/02/28
  1069,2681,GLENMORE,PARISH OF GLENMORE,       10010540,2008/02/28
  1072,2683,GLENORMISTON,PARISH OF GLENORMISTON,       10010543,2008/02/28
  1076,5328,GLENTHOMPSON (T),TOWNSHIP OF GLENTHOMPSON,       10010547,2008/02/28
  1080,2689,GNARR,PARISH OF GNARR,       10010551,2008/02/28
  1083,2692,GOBARUP,PARISH OF GOBARUP,       10010554,2008/02/28
  1086,5331,GOLDEN LAKE (T),TOWNSHIP OF GOLDEN LAKE,       10010557,2008/02/28
  1090,2696,GONZAGA,PARISH OF GONZAGA,       10010561,2008/02/28
  1093,2702,GOON NURE,PARISH OF GOON NURE,       10010564,2008/02/28
  1097,2701,GOONGERAH,PARISH OF GOONGERAH,       10010568,2008/02/28
  1100,5334,GOORAMADDA (T),TOWNSHIP OF GOORAMADDA,       10010571,2008/02/28
  1104,5336,GOOROC (T),TOWNSHIP OF GOOROC,       10010575,2008/02/28
  1107,5338,GORMANDALE (T),TOWNSHIP OF GORMANDALE,       10010578,2008/02/28
  1111,2710,GORRINN,PARISH OF GORRINN,       10010582,2008/02/28
  1114,5340,GOSCHEN (T),TOWNSHIP OF GOSCHEN,       10010585,2008/02/28
  1118,2715,GOWAR,PARISH OF GOWAR,       10010589,2008/02/28
  1121,2716,GOYURA,PARISH OF GOYURA,       10010592,2008/02/28
  1124,2718,GRAHAM,PARISH OF GRAHAM,       10010595,2008/02/28
